INFO_TITLE,About Human Heart,ekuo ân; ds ckjs esa,માનવ હૃદય વિશે
INFO_DESC,The heart is a muscular organ that pumps blood throughout the body.\n\nIt has 4 chambers — 2 atria and 2 ventricles. It works continuously to supply oxygen and nutrients.,ân; ,d ekalisf'k;ksa okyk vax gS tks 'kjhj esa jDr iai djrk gSA\n\nblesa 4 d{k gksrs gSa & 2 vkfyan vkSj 2 fuy;A ;g fujarj vkWDlhtu vkSj iks""kd rRo igqapkrk gSA,હૃદય એક સ્નાયુબદ્ધ અંગ છે જે સમગ્ર શરીરમાં લોહી પંપ કરે છે.\n\nતેમાં 4 ખંડો છે - 2 કર્ણકો અને 2 ક્ષેપકો. તે ઓક્સિજન અને પોષક તત્વો પહોંચાડવા માટે સતત કાર્ય કરે છે.
QUIZ_Q_PROGRESS,Question 2 of 5,ç'u 2 @ 5,પ્રશ્ન 2 / 5
QUIZ_Q2,Which part of the heart\npumps oxygen-rich\nblood to the body?,ân; dk dkSu lk Hkkx\n'kjhj dks vkWDlhtu ;qDr\njDr iai djrk gS\,હૃદયનો કયો ભાગ\nશરીરને ઓક્સિજનયુક્ત\nલોહી પંપ કરે છે?
QUIZ_A1,A) Right Atrium,A) nk;ka vkfyan,A) જમણું કર્ણક
QUIZ_A2,B) Right Ventricle,B) nk;ka fuy;,B) જમણું ક્ષેપક
QUIZ_A3,C) Left Ventricle     ✓,C) ck;ka fuy;     ✓,C) ડાબું ક્ષેપક     ✓
QUIZ_A4,D) Left Atrium,D) ck;ka vkfyan,D) ડાબું કર્ણક
QUIZ_EXPLANATION,Left Ventricle pumps oxygen-rich blood.,ck;ka fuy; vkWDlhtukbTM jDr iai djrk gSA,ડાબું ક્ષેપક ઓક્સિજનયુક્ત લોહી પંપ કરે છે.
AUDIO_SUBTITLE,▶  The heart pumps blood\n     throughout the body...,▶  ân; 'kjhj esa\n     jDr iai djrk gS---,▶  હૃદય સમગ્ર શરીરમાં\n     લોહી પંપ કરે છે...
RESET_TOAST,↻  Model reset to default,↻  e‚My iwoZor fLFkfr esa,↻  મોડેલ રીસેટ થયું
HEADER_LIBRARY,My Library,esjh ykbczsjh,મારી લાઇબ્રેરી
TAB_MODELS,Models,e‚MYl,મોડેલ્સ
TAB_BOOKMARKS,Bookmarks,cqdekDlZ,બુકમાર્ક્સ
TAB_HISTORY,History,bfrgkl,ઇતિહાસ
LIB_HEART,♥   Human Heart\n      Biology  •  12 May 2024,♥   ekuo ân;\n      tho foKku  •  12 ebZ 2024,♥   માનવ હૃદય\n      જીવવિજ્ઞાન  •  12 મે 2024
LIB_PLANT,◉   Plant Cell\n      Biology  •  10 May 2024,◉   ikni dksf'kdk\n      tho foKku  •  10 ebZ 2024,◉   વનસ્પતિ કોષ\n      જીવવિજ્ઞાન  •  10 મે 2024
LIB_SOLAR,☀   The Solar System\n      Physics  •  08 May 2024,☀   lkSjeaMy\n      HkkSfrdh  •  08 ebZ 2024,☀   સૂર્યમંડળ\n      ભૌતિકશાસ્ત્ર  •  08 મે 2024
LIB_TAJ,♜   Taj Mahal\n      History  •  05 May 2024,♜   rktegy\n      bfrgkl  •  05 ebZ 2024,♜   તાજમહેલ\n      ઇતિહાસ  •  05 મે 2024
SETTING_LANG,◎  Language                         English  ›,◎  Hkk""kk                         fganh  ›,◎  ભાષા                         ગુજરાતી  ›
SETTING_AUDIO,🔊  Audio                                  ●  ›,🔊  vkWfM;ks                                  ●  ›,🔊  ઑડિયો                                  ●  ›
SETTING_BGM,♫  Background Music               ●  ›,♫  ik'oZ laxhr               ●  ›,♫  બેકગ્રાઉન્ડ મ્યુઝિક               ●  ›
SETTING_CACHE,▣  Clear Cache                     45.2 MB  ›,▣  dS'k lkiQ djsa                     45.2 MB  ›,▣  કૅશ સાફ કરો                     45.2 MB  ›
SETTING_RATE,☆  Rate Us                                      ›,☆  jsfVax nsa                                      ›,☆  રેટ કરો                                      ›
SETTING_SHARE,⌯  Share App                                  ›,⌯  ,si 'ks;j djsa                                  ›,⌯  ઍપ શેર કરો                                  ›
SETTING_PRIVACY,▢  Privacy Policy                            ›,▢  xksiuh;rk uhfr                            ›,▢  ગોપનીયતા નીતિ                            ›
SETTING_ABOUT,ⓘ  About Us                                    ›,ⓘ  gekjs ckjs esa                                    ›,ⓘ  અમારા વિશે                                    ›
NAV_HOME,⌂\nHome,⌂\ngkse,⌂\nહોમ
NAV_LIBRARY,▤\nLibrary,▤\nykbczsjh,▤\nલાઇબ્રેરી
NAV_BOOKMARKS,☆\nBookmarks,☆\ncqdekDlZ,☆\nબુકમાર્ક્સ
NAV_PROFILE,♙\nProfile,♙\nçksI+Qkby,♙\nપ્રોફાઇલ
TAB_HOME,Home,gkse,હોમ
TAB_SCAN,Scan,LdSu,સ્કેન
TAB_MODEL,Model,e‚My,મોડેલ
TAB_EXPLORE,Explore,vUos""k.k,શોધો
TAB_XRAY,X-Ray,X-Ray,એક્સ-રે
TAB_PARTS,Parts,Hkkx,ભાગો
TAB_INFO,Info,tkudkjh,માહિતી
TAB_QUIZ,Quiz,ç'uksÙkjh,ક્વિઝ
TAB_AUDIO,Audio,vkWfM;ks,ઑડિયો
TAB_RESET,Reset,çkjafHkd,રીસેટ
TAB_LIBRARY,Library,ykbczsjh,લાઇબ્રેરી
TAB_SETTINGS,Settings,lsfVaXl,સેટિંગ્સ
